bookID,title,authors,average_rating,isbn,isbn13,language_code,# num_pages,ratings_count,text_reviews_count
9416,Confessions of a Shopaholic (Shopaholic  #1),Sophie Kinsella,3.63,0440241413,9780440241416,eng,368,578094,9893
1420,Hamlet,William Shakespeare-Harold Bloom-Rex Gibson,4.01,0521618746,9780521618748,eng,289,577429,6702
6288,The Road,Cormac McCarthy,3.96,0307265439,9780307265432,eng,241,574745,33304
8852,Macbeth,William Shakespeare-Linda Alchin-Antoni Cimolino-Shelagh O'Brien,3.89,0743477103,9780743477109,eng,246,560816,7311
24280,Les Misérables,Victor Hugo-Lee Fahnestock-Norman MacAfee,4.16,0451525264,9780451525260,eng,1463,559595,9943
16299,And Then There Were None,Agatha Christie,4.25,0312330871,9780312330873,eng,264,558832,16793
3473,A Walk to Remember,Nicholas Sparks,4.16,0446693804,9780446693806,eng,240,555926,10210
15241,The Two Towers (The Lord of the Rings  #2),J.R.R. Tolkien-Peter S. Beagle,4.44,0618346260,9780618346264,eng,322,553315,5462
7763,The Joy Luck Club,Amy Tan,3.91,0143038095,9780143038092,eng,288,550264,6807
320,One Hundred Years of Solitude,Gabriel García Márquez-Gregory Rabassa,4.06,0060531045,9780060531041,eng,417,547207,15763
4137,Me Talk Pretty One Day,David Sedaris,3.98,0349113912,9780349113913,eng,272,546269,14115
23772,Green Eggs and Ham,Dr. Seuss,4.3,0394800168,9780394800165,eng,62,539202,8276
2865,Girl with a Pearl Earring,Tracy Chevalier,3.87,0452287022,9780452287020,eng,233,537907,6627
18512,The Return of the King (The Lord of the Rings  #3),J.R.R. Tolkien,4.52,0345339738,9780345339737,eng,490,532629,5346
5043,The Pillars of the Earth (Kingsbridge  #1),Ken Follett,4.31,0451207149,9780451207142,eng,973,530446,24934
37442,Wicked: The Life and Times of the Wicked Witch of the West (The Wicked Years  #1),Gregory Maguire-Douglas Smith,3.53,0060987103,9780060987107,eng,406,526173,20994
2187,Middlesex,Jeffrey Eugenides,3.99,0312422156,9780312422158,eng,529,526111,19312
6310,Charlie and the Chocolate Factory,Roald Dahl-Quentin Blake,4.12,0142403881,9780142403884,eng,176,524487,6804
2623,Great Expectations,Charles Dickens-Marisa Sestino,3.76,0192833596,9780192833594,eng,505,523790,10337
5358,The Firm,John Grisham-Robin Waterfield,4.0,0582418275,9780582418271,eng,76,522946,3346
10441,The Memory Keeper's Daughter,Kim Edwards,3.65,0143037145,9780143037149,eng,401,519878,17366
6969,Emma,Jane Austen-Fiona Stafford,3.99,0141439580,9780141439587,eng,474,519245,10321
976,Deception Point,Dan Brown,3.7,0671027387,9780671027384,eng,556,511233,6870
